"year","cgHeadId","cgPlaId","startDateEarly","startDateLate","endDateEarly","endDateLate","note"
2011,2011000512,3261,"2011-07-26","2011-07-30","2011-08-01","2011-08-04",
2011,2011000514,3262,"2011-07-19","2011-07-19","2011-08-01","2011-08-04",
2011,2011000515,3262,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011000516,3264,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011000519,3296,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011000520,3296,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011000521,3304,"2011-07-19","2011-07-19","2011-08-01","2011-08-04",
2011,2011000522,9028,"2011-07-11","2011-07-11","2011-07-20","2011-07-24",
2011,2011000523,9030,"2011-07-12","2011-07-12","2011-07-20","2011-07-24",
2011,2011000524,9030,"2011-07-12","2011-07-12","2011-07-20","2011-07-24",
2011,2011000525,9030,"2011-07-12","2011-07-12","2011-07-20","2011-07-24",
2011,2011000526,9031,"2011-07-12","2011-07-12","2011-07-20","2011-07-24",
2011,2011000527,9031,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011000528,9033,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011000529,9033,"2011-07-24","2011-07-24","2011-08-01","2011-08-04",
2011,2011000535,9062,"2011-07-19","2011-07-19","2011-08-01","2011-08-04",
2011,2011000536,9065,"2011-07-24","2011-07-24","2011-08-05","2011-08-05",
2011,2011000537,9065,"2011-07-24","2011-07-24","2011-08-01","2011-08-04",
2011,2011000540,4623,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000538,4623,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011000539,4623,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011000541,4624,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011000543,4626,"2011-07-20","2011-07-24","2011-07-31","2011-07-31",
2011,2011000542,4626,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011000546,4627,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011000544,4627,"2011-07-26","2011-07-30","2011-08-01","2011-08-04",
2011,2011000547,4627,"2011-07-19","2011-07-19","2011-07-20","2011-07-24",
2011,2011000545,4627,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011000548,4628,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
